Sentence ID,Sentence
അക്കൗണ്ടൻ്റ്.കസ്റ്റമർ.0.male,"അക്കൗണ്ടൻ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അക്കൗണ്ടൻ്റ്.കസ്റ്റമർ.0.female,"അക്കൗണ്ടൻ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അക്കൗണ്ടൻ്റ്.കസ്റ്റമർ.0.neutral,"അക്കൗണ്ടൻ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അക്കൗണ്ടൻ്റ്.ഒരു ആള.1.male,"അക്കൗണ്ടൻ്റ് ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
അക്കൗണ്ടൻ്റ്.ഒരു ആള.1.female,"അക്കൗണ്ടൻ്റ് ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
അക്കൗണ്ടൻ്റ്.ഒരു ആള.1.neutral,"അക്കൗണ്ടൻ്റ് ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
അക്കൗണ്ടൻ്റ്.ഒരു ആള.0.male,"അക്കൗണ്ടൻ്റ് ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അക്കൗണ്ടൻ്റ്.ഒരു ആള.0.female,"അക്കൗണ്ടൻ്റ് ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അക്കൗണ്ടൻ്റ്.ഒരു ആള.0.neutral,"അക്കൗണ്ടൻ്റ് ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
സൂപ്പർവൈസർ.കസ്റ്റമർ.1.male,"സൂപ്പർവൈസർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
സൂപ്പർവൈസർ.കസ്റ്റമർ.1.female,"സൂപ്പർവൈസർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
സൂപ്പർവൈസർ.കസ്റ്റമർ.1.neutral,"സൂപ്പർവൈസർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
സൂപ്പർവൈസർ.കസ്റ്റമർ.0.male,"സൂപ്പർവൈസർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
സൂപ്പർവൈസർ.കസ്റ്റമർ.0.female,"സൂപ്പർവൈസർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
സൂപ്പർവൈസർ.കസ്റ്റമർ.0.neutral,"സൂപ്പർവൈസർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
സൂപ്പർവൈസർ.ഒരു ആള.1.male,"സൂപ്പർവൈസർ ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
സൂപ്പർവൈസർ.ഒരു ആള.1.female,"സൂപ്പർവൈസർ ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
സൂപ്പർവൈസർ.ഒരു ആള.1.neutral,"സൂപ്പർവൈസർ ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
സൂപ്പർവൈസർ.ഒരു ആള.0.male,"സൂപ്പർവൈസർ ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
സൂപ്പർവൈസർ.ഒരു ആള.0.female,"സൂപ്പർവൈസർ ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
സൂപ്പർവൈസർ.ഒരു ആള.0.neutral,"സൂപ്പർവൈസർ ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
എഞ്ചിനീയർ.കസ്റ്റമർ.1.male,"എഞ്ചിനീയർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
എഞ്ചിനീയർ.കസ്റ്റമർ.1.female,"എഞ്ചിനീയർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
എഞ്ചിനീയർ.കസ്റ്റമർ.1.neutral,"എഞ്ചിനീയർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
എഞ്ചിനീയർ.കസ്റ്റമർ.0.male,"എഞ്ചിനീയർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
എഞ്ചിനീയർ.കസ്റ്റമർ.0.female,"എഞ്ചിനീയർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
എഞ്ചിനീയർ.കസ്റ്റമർ.0.neutral,"എഞ്ചിനീയർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
എഞ്ചിനീയർ.ഒരു ആള.1.male,"എഞ്ചിനീയർ ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
എഞ്ചിനീയർ.ഒരു ആള.1.female,"എഞ്ചിനീയർ ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
എഞ്ചിനീയർ.ഒരു ആള.1.neutral,"എഞ്ചിനീയർ ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
എഞ്ചിനീയർ.ഒരു ആള.0.male,"എഞ്ചിനീയർ ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
എഞ്ചിനീയർ.ഒരു ആള.0.female,"എഞ്ചിനീയർ ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
എഞ്ചിനീയർ.ഒരു ആള.0.neutral,"എഞ്ചിനീയർ ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
തൊഴിലാളി.കസ്റ്റമർ.1.male,"തൊഴിലാളി കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
തൊഴിലാളി.കസ്റ്റമർ.1.female,"തൊഴിലാളി കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
തൊഴിലാളി.കസ്റ്റമർ.1.neutral,"തൊഴിലാളി കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
തൊഴിലാളി.കസ്റ്റമർ.0.male,"തൊഴിലാളി കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
തൊഴിലാളി.കസ്റ്റമർ.0.female,"തൊഴിലാളി കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
തൊഴിലാളി.കസ്റ്റമർ.0.neutral,"തൊഴിലാളി കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
തൊഴിലാളി.ഒരു ആള.1.male,"തൊഴിലാളി ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
തൊഴിലാളി.ഒരു ആള.1.female,"തൊഴിലാളി ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
തൊഴിലാളി.ഒരു ആള.1.neutral,"തൊഴിലാളി ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
തൊഴിലാളി.ഒരു ആള.0.male,"തൊഴിലാളി ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
തൊഴിലാളി.ഒരു ആള.0.female,"തൊഴിലാളി ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
തൊഴിലാളി.ഒരു ആള.0.neutral,"തൊഴിലാളി ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അധ്യാപകൻ.കസ്റ്റമർ.1.male,"അധ്യാപകൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
അധ്യാപകൻ.കസ്റ്റമർ.1.female,"അധ്യാപകൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
അധ്യാപകൻ.കസ്റ്റമർ.1.neutral,"അധ്യാപകൻ കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
അധ്യാപകൻ.കസ്റ്റമർ.0.male,"അധ്യാപകൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അധ്യാപകൻ.കസ്റ്റമർ.0.female,"അധ്യാപകൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അധ്യാപകൻ.കസ്റ്റമർ.0.neutral,"അധ്യാപകൻ കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അധ്യാപകൻ.ഒരു ആള.1.male,"അധ്യാപകൻ ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
അധ്യാപകൻ.ഒരു ആള.1.female,"അധ്യാപകൻ ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
അധ്യാപകൻ.ഒരു ആള.1.neutral,"അധ്യാപകൻ ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
അധ്യാപകൻ.ഒരു ആള.0.male,"അധ്യാപകൻ ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അധ്യാപകൻ.ഒരു ആള.0.female,"അധ്യാപകൻ ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
അധ്യാപകൻ.ഒരു ആള.0.neutral,"അധ്യാപകൻ ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഗുമസ്തൻ.കസ്റ്റമർ.1.male,"ഗുമസ്തൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
ഗുമസ്തൻ.കസ്റ്റമർ.1.female,"ഗുമസ്തൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
ഗുമസ്തൻ.കസ്റ്റമർ.1.neutral,"ഗുമസ്തൻ കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
ഗുമസ്തൻ.കസ്റ്റമർ.0.male,"ഗുമസ്തൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഗുമസ്തൻ.കസ്റ്റമർ.0.female,"ഗുമസ്തൻ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഗുമസ്തൻ.കസ്റ്റമർ.0.neutral,"ഗുമസ്തൻ കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഗുമസ്തൻ.ഒരു ആള.1.male,"ഗുമസ്തൻ ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
ഗുമസ്തൻ.ഒരു ആള.1.female,"ഗുമസ്തൻ ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
ഗുമസ്തൻ.ഒരു ആള.1.neutral,"ഗുമസ്തൻ ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
ഗുമസ്തൻ.ഒരു ആള.0.male,"ഗുമസ്തൻ ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഗുമസ്തൻ.ഒരു ആള.0.female,"ഗുമസ്തൻ ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഗുമസ്തൻ.ഒരു ആള.0.neutral,"ഗുമസ്തൻ ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
കൗൺസിലർ.കസ്റ്റമർ.1.male,"കൗൺസിലർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
കൗൺസിലർ.കസ്റ്റമർ.1.female,"കൗൺസിലർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
കൗൺസിലർ.കസ്റ്റമർ.1.neutral,"കൗൺസിലർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
കൗൺസിലർ.കസ്റ്റമർ.0.male,"കൗൺസിലർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
കൗൺസിലർ.കസ്റ്റമർ.0.female,"കൗൺസിലർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
കൗൺസിലർ.കസ്റ്റമർ.0.neutral,"കൗൺസിലർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
കൗൺസിലർ.ഒരു ആള.1.male,"കൗൺസിലർ ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
കൗൺസിലർ.ഒരു ആള.1.female,"കൗൺസിലർ ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
കൗൺസിലർ.ഒരു ആള.1.neutral,"കൗൺസിലർ ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
കൗൺസിലർ.ഒരു ആള.0.male,"കൗൺസിലർ ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
കൗൺസിലർ.ഒരു ആള.0.female,"കൗൺസിലർ ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
കൗൺസിലർ.ഒരു ആള.0.neutral,"കൗൺസിലർ ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഇൻസ്പെക്ടർ.കസ്റ്റമർ.1.male,"ഇൻസ്പെക്ടർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
ഇൻസ്പെക്ടർ.കസ്റ്റമർ.1.female,"ഇൻസ്പെക്ടർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
ഇൻസ്പെക്ടർ.കസ്റ്റമർ.1.neutral,"ഇൻസ്പെക്ടർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
ഇൻസ്പെക്ടർ.കസ്റ്റമർ.0.male,"ഇൻസ്പെക്ടർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഇൻസ്പെക്ടർ.കസ്റ്റമർ.0.female,"ഇൻസ്പെക്ടർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഇൻസ്പെക്ടർ.കസ്റ്റമർ.0.neutral,"ഇൻസ്പെക്ടർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഇൻസ്പെക്ടർ.ഒരു ആള.1.male,"ഇൻസ്പെക്ടർ ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
ഇൻസ്പെക്ടർ.ഒരു ആള.1.female,"ഇൻസ്പെക്ടർ ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
ഇൻസ്പെക്ടർ.ഒരു ആള.1.neutral,"ഇൻസ്പെക്ടർ ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
ഇൻസ്പെക്ടർ.ഒരു ആള.0.male,"ഇൻസ്പെക്ടർ ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഇൻസ്പെക്ടർ.ഒരു ആള.0.female,"ഇൻസ്പെക്ടർ ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
ഇൻസ്പെക്ടർ.ഒരു ആള.0.neutral,"ഇൻസ്പെക്ടർ ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മെക്കാനിക്ക്.കസ്റ്റമർ.1.male,"മെക്കാനിക്ക് കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
മെക്കാനിക്ക്.കസ്റ്റമർ.1.female,"മെക്കാനിക്ക് കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
മെക്കാനിക്ക്.കസ്റ്റമർ.1.neutral,"മെക്കാനിക്ക് കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
മെക്കാനിക്ക്.കസ്റ്റമർ.0.male,"മെക്കാനിക്ക് കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മെക്കാനിക്ക്.കസ്റ്റമർ.0.female,"മെക്കാനിക്ക് കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മെക്കാനിക്ക്.കസ്റ്റമർ.0.neutral,"മെക്കാനിക്ക് കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മെക്കാനിക്ക്.ഒരു ആള.1.male,"മെക്കാനിക്ക് ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
മെക്കാനിക്ക്.ഒരു ആള.1.female,"മെക്കാനിക്ക് ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
മെക്കാനിക്ക്.ഒരു ആള.1.neutral,"മെക്കാനിക്ക് ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
മെക്കാനിക്ക്.ഒരു ആള.0.male,"മെക്കാനിക്ക് ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മെക്കാനിക്ക്.ഒരു ആള.0.female,"മെക്കാനിക്ക് ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മെക്കാനിക്ക്.ഒരു ആള.0.neutral,"മെക്കാനിക്ക് ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മാനേജർ.കസ്റ്റമർ.1.male,"മാനേജർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
മാനേജർ.കസ്റ്റമർ.1.female,"മാനേജർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
മാനേജർ.കസ്റ്റമർ.1.neutral,"മാനേജർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
മാനേജർ.കസ്റ്റമർ.0.male,"മാനേജർ കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മാനേജർ.കസ്റ്റമർ.0.female,"മാനേജർ കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മാനേജർ.കസ്റ്റമർ.0.neutral,"മാനേജർ കസ്റ്റമർോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മാനേജർ.ഒരു ആള.1.male,"മാനേജർ ഒരു ആളോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
മാനേജർ.ഒരു ആള.1.female,"മാനേജർ ഒരു ആളോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
മാനേജർ.ഒരു ആള.1.neutral,"മാനേജർ ഒരു ആളോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
മാനേജർ.ഒരു ആള.0.male,"മാനേജർ ഒരു ആളോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മാനേജർ.ഒരു ആള.0.female,"മാനേജർ ഒരു ആളോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
മാനേജർ.ഒരു ആള.0.neutral,"മാനേജർ ഒരു ആളോട് പറഞ്ഞു, അവർ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
തെറാപ്പിസ്റ്റ്.കസ്റ്റമർ.1.male,"തെറാപ്പിസ്റ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവൻ കാഷ് നൽകാമെന്ന്."
തെറാപ്പിസ്റ്റ്.കസ്റ്റമർ.1.female,"തെറാപ്പിസ്റ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവൾ കാഷ് നൽകാമെന്ന്."
തെറാപ്പിസ്റ്റ്.കസ്റ്റമർ.1.neutral,"തെറാപ്പിസ്റ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവർ കാഷ് നൽകാമെന്ന്."
തെറാപ്പിസ്റ്റ്.കസ്റ്റമർ.0.male,"തെറാപ്പിസ്റ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവൻ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
തെറാപ്പിസ്റ്റ്.കസ്റ്റമർ.0.female,"തെറാപ്പിസ്റ്റ് കസ്റ്റമർോട് പറഞ്ഞു, അവൾ അറ്റകുറ്റപ്പണികൾ പൂർത്തിയാക്കിയെന്ന്."
